name,version,file,integrity,url
"@esbuild/aix-ppc64","0.25.12","tarballs/esbuild__aix-ppc64-0.25.12.tgz","sha512-Hhmwd6CInZ3dwpuGTF8fJG6yoWmsToE+vYgD4nytZVxcu1ulHpUQRAB1UJ8+N1Am3Mz4+xOByoQoSZf4D+CpkA==","https://registry.npmjs.org/@esbuild/aix-ppc64/-/aix-ppc64-0.25.12.tgz"
"@esbuild/aix-ppc64","0.27.3","tarballs/esbuild__aix-ppc64-0.27.3.tgz","sha512-9fJMTNFTWZMh5qwrBItuziu834eOCUcEqymSH7pY+zoMVEZg3gcPuBNxH1EvfVYe9h0x/Ptw8KBzv7qxb7l8dg==","https://registry.npmjs.org/@esbuild/aix-ppc64/-/aix-ppc64-0.27.3.tgz"
"@esbuild/aix-ppc64","0.28.0","tarballs/esbuild__aix-ppc64-0.28.0.tgz","sha512-lhRUCeuOyJQURhTxl4WkpFTjIsbDayJHih5kZC1giwE+MhIzAb7mEsQMqMf18rHLsrb5qI1tafG20mLxEWcWlA==","https://registry.npmjs.org/@esbuild/aix-ppc64/-/aix-ppc64-0.28.0.tgz"
"@esbuild/android-arm","0.18.20","tarballs/esbuild__android-arm-0.18.20.tgz","sha512-fyi7TDI/ijKKNZTUJAQqiG5T7YjJXgnzkURqmGj13C6dCqckZBLdl4h7bkhHt/t0WP+zO9/zwroDvANaOqO5Sw==","https://registry.npmjs.org/@esbuild/android-arm/-/android-arm-0.18.20.tgz"
"@esbuild/android-arm","0.25.12","tarballs/esbuild__android-arm-0.25.12.tgz","sha512-VJ+sKvNA/GE7Ccacc9Cha7bpS8nyzVv0jdVgwNDaR4gDMC/2TTRc33Ip8qrNYUcpkOHUT5OZ0bUcNNVZQ9RLlg==","https://registry.npmjs.org/@esbuild/android-arm/-/android-arm-0.25.12.tgz"
"@esbuild/android-arm","0.27.3","tarballs/esbuild__android-arm-0.27.3.tgz","sha512-i5D1hPY7GIQmXlXhs2w8AWHhenb00+GxjxRncS2ZM7YNVGNfaMxgzSGuO8o8SJzRc/oZwU2bcScvVERk03QhzA==","https://registry.npmjs.org/@esbuild/android-arm/-/android-arm-0.27.3.tgz"
"@esbuild/android-arm","0.28.0","tarballs/esbuild__android-arm-0.28.0.tgz","sha512-wqh0ByljabXLKHeWXYLqoJ5jKC4XBaw6Hk08OfMrCRd2nP2ZQ5eleDZC41XHyCNgktBGYMbqnrJKq/K/lzPMSQ==","https://registry.npmjs.org/@esbuild/android-arm/-/android-arm-0.28.0.tgz"
"@esbuild/android-arm64","0.18.20","tarballs/esbuild__android-arm64-0.18.20.tgz","sha512-Nz4rJcchGDtENV0eMKUNa6L12zz2zBDXuhj/Vjh18zGqB44Bi7MBMSXjgunJgjRhCmKOjnPuZp4Mb6OKqtMHLQ==","https://registry.npmjs.org/@esbuild/android-arm64/-/android-arm64-0.18.20.tgz"
"@esbuild/android-arm64","0.25.12","tarballs/esbuild__android-arm64-0.25.12.tgz","sha512-6AAmLG7zwD1Z159jCKPvAxZd4y/VTO0VkprYy+3N2FtJ8+BQWFXU+OxARIwA46c5tdD9SsKGZ/1ocqBS/gAKHg==","https://registry.npmjs.org/@esbuild/android-arm64/-/android-arm64-0.25.12.tgz"
"@esbuild/android-arm64","0.27.3","tarballs/esbuild__android-arm64-0.27.3.tgz","sha512-YdghPYUmj/FX2SYKJ0OZxf+iaKgMsKHVPF1MAq/P8WirnSpCStzKJFjOjzsW0QQ7oIAiccHdcqjbHmJxRb/dmg==","https://registry.npmjs.org/@esbuild/android-arm64/-/android-arm64-0.27.3.tgz"
